Ticker Symbol,Security,GICS Sector,GICS Sub Industry,Current Price,Price Change,Volatility,ROE,Cash Ratio,Net Cash Flow,Net Income,Earnings Per Share,Estimated Shares Outstanding,P/E Ratio,P/B Ratio
IPG,Interpublic Group,Consumer Discretionary,Advertising,23.28,21.82,1.14,23.0,20.0,,454600000.0,1.11,,20.97,0.27
IRM,Iron Mountain Incorporated,Real Estate,REITs,27.01,-13.07,1.3,24.0,15.0,,123241000.0,0.58,,46.57,-2.76
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,546.16,18.73,1.13,14.0,317.0,,588800000.0,15.87,,34.41,42.61
ITW,Illinois Tool Works,Industrials,Industrial Machinery,92.68,12.78,1.14,36.0,130.0,,1899000000.0,5.16,,17.96,7.59
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,33.48,7.07,1.58,12.0,67.0,,968100000.0,2.26,,14.81,4.22
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,73.36,2.96,1.22,33.0,1.0,,427235000.0,3.69,,19.88,2.82
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,41.95,11.54,1.73,7.0,23.0,,302971000.0,2.42,,17.33,6.29
JNPR,Juniper Networks,Information Technology,Networking Equipment,27.6,7.35,1.84,14.0,108.0,,633700000.0,1.62,,17.04,2.75
JPM,JPMorgan Chase & Co.,Financials,Banks,66.03,8.03,1.13,10.0,99.0,,24442000000.0,6.05,,10.91,-1.89
KIM,Kimco Realty,Real Estate,REITs,26.46,8.71,1.22,18.0,47.0,,894115000.0,2.01,,13.16,-1.27
KMB,Kimberly-Clark,Consumer Staples,Household Products,127.3,17.51,0.87,582.0,10.0,,1013000000.0,2.78,,45.79,-2.53
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transpo,14.92,-47.13,3.14,1.0,7.0,,253000000.0,0.1,,149.2,-1.89
KO,Coca Cola Company,Consumer Staples,Soft Drinks,42.96,6.81,0.89,29.0,74.0,,7351000000.0,1.69,,25.42,-1.47
KSU,Kansas City Southern,Industrials,Railroads,74.67,-18.44,2.07,12.0,18.0,,483500000.0,4.41,,16.93,-2.01
LEG,Leggett & Platt,Industrials,Industrial Conglomerates,42.02,1.97,1.2,30.0,36.0,,329200000.0,2.31,,18.19,2.93
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,48.91,1.71,1.57,14.0,25.0,,802894000.0,3.87,,12.64,-0.31
LH,Laboratory Corp. of America Ho,Health Care,Health Care Facilities,123.64,14.17,1.6,9.0,42.0,,436900000.0,5.03,,15.9,-1.29
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,29.63,4.44,1.43,14.0,12.0,,423223000.0,3.03,,20.82,-0.86
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,119.51,14.54,1.51,6.0,7.0,,-240000000.0,-2.97,,17.33,14.28
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,84.26,0.79,1.44,17.0,54.0,,2408400000.0,2.27,,37.12,-0.65
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,217.15,5.25,0.9,116.0,8.0,,3605000000.0,11.62,,18.69,-10.85
LNT,Alliant Energy Corp,Utilities,Electric Utilities,31.23,6.64,1.12,10.0,0.0,,388400000.0,3.36,,9.29,-4.61
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,17.39,-14.29,1.55,2.0,81.0,,252111000.0,0.74,,23.5,19.82
LUV,Southwest Airlines,Industrials,Airlines,43.06,13.86,1.54,30.0,41.0,,2181000000.0,3.3,,13.05,-5.12
LVLT,Level 3 Communications,Telecommunications Services,Alternative Carriers,54.36,24.71,1.46,34.0,61.0,,3433000000.0,9.71,,5.6,-2.25
LYB,LyondellBasell,Materials,Diversified Chemicals,86.9,2.57,1.61,68.0,46.0,,4476000000.0,9.62,,9.03,10.32
MA,Mastercard Inc.,Information Technology,Internet Software & Services,97.36,7.5,1.1,63.0,130.0,,3808000000.0,3.36,,28.98,3.45
MAA,Mid-America Apartments,Real Estate,Residential REITs,90.81,10.62,1.18,12.0,47.0,,350745000.0,4.41,,20.59,-3.09
MAC,Macerich,Real Estate,Retail REITs,80.69,4.18,1.17,10.0,47.0,,487562000.0,3.08,,26.2,-3.97
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",67.04,-1.97,1.64,24.0,3.0,,859000000.0,3.22,,20.82,-12.37
MAS,Masco Corp.,Industrials,Building Products,28.3,11.64,1.43,263.0,61.0,,355000000.0,1.03,,27.48,2.22
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,27.17,30.63,1.92,14.0,54.0,,369416000.0,1.08,,25.16,4.54
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,118.14,19.94,0.73,64.0,260.0,,4529300000.0,4.82,,24.51,7.12
MCO,Moody's Corp,Financials,Diversified Financial Services,100.34,2.35,1.27,167.0,183.0,,941300000.0,4.7,,21.35,8.62
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,44.84,6.08,1.32,26.0,17.0,,7267000000.0,4.49,,9.99,-12.81
MET,MetLife Inc.,Financials,Life & Health Insurance,48.21,1.37,1.14,8.0,99.0,,5310000000.0,4.61,,10.46,-1.88
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,189.39,3.51,1.49,13.0,3.0,,615302000.0,2.59,,73.12,-3.98
MJN,Mead Johnson,Consumer Staples,Packaged Foods & Meats,78.95,12.08,1.72,103.0,136.0,,653500000.0,3.28,,24.07,6.5
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,85.56,6.98,1.03,24.0,9.0,,401600000.0,3.14,,27.25,-1.98
MLM,Martin Marietta Materials,Materials,Construction Materials,136.58,-10.87,2.16,7.0,46.0,,288792000.0,4.31,,31.69,3.05
MMC,Marsh & McLennan,Financials,Insurance Brokers,55.45,6.02,1.03,25.0,99.0,,1599000000.0,3.01,,18.42,-1.95
MMM,3M Company,Industrials,Industrial Conglomerates,150.64,5.93,0.98,42.0,27.0,,4833000000.0,7.72,,19.51,2.02
MNST,Monster Beverage,Consumer Staples,Soft Drinks,49.65,10.8,1.59,11.0,568.0,,546733000.0,3.71,,25.42,-5.19
MO,Altria Group Inc,Consumer Staples,Tobacco,58.21,6.89,0.96,182.0,33.0,,5241000000.0,2.67,,21.8,-6.63
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,27.59,-11.23,2.83,10.0,62.0,,1000400000.0,2.79,,9.89,5.85
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transpo,51.84,11.51,1.99,22.0,18.0,,2852000000.0,5.29,,9.8,5.8
MRK,Merck & Co.,Health Care,Pharmaceuticals,52.82,7.03,1.28,10.0,70.0,,4442000000.0,1.58,,33.43,-4.28
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,12.59,-20.27,3.33,12.0,71.0,,-2204000000.0,-3.26,,93.09,1.27
MTB,M&T Bank Corp.,Financials,Banks,121.18,-0.36,1.38,7.0,99.0,,1079667000.0,7.22,,16.78,-0.94
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,339.13,18.94,1.12,61.0,18.0,,352820000.0,12.75,,26.6,4.4
MUR,Murphy Oil,Energy,Integrated Oil & Gas,22.45,-8.59,2.85,43.0,27.0,,-2270833000.0,-13.03,,28.41,-1.3
MYL,Mylan N.V.,Health Care,Pharmaceuticals,54.07,33.18,2.3,9.0,30.0,,847600000.0,1.58,,33.43,-4.21
NAVI,Navient,Financials,Consumer Finance,11.45,1.87,2.23,25.0,99.0,,997000000.0,2.66,,4.3,-1.88
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,32.93,7.3,2.51,24.0,57.0,,-2441000000.0,-6.07,,93.09,1.17
NDAQ,NASDAQ OMX Group,Financials,Diversified Financial Services,58.17,8.81,1.56,8.0,117.0,,428000000.0,2.56,,22.72,-11.72
NEE,NextEra Energy,Utilities,MultiUtilities,103.89,6.24,1.02,12.0,6.0,,2752000000.0,6.11,,17.0,-7.35
NEM,Newmont Mining Corp. (Hldg. Co,Materials,Gold,17.99,10.84,2.54,2.0,198.0,,220000000.0,0.43,,41.84,6.97
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,114.38,11.15,2.61,6.0,65.0,,122641000.0,0.29,,394.41,-5.7
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,32.56,-3.3,2.42,244.0,1.0,,-3362000000.0,-21.18,,93.09,-0.14
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,46.6,4.93,1.2,13.0,21.0,,570000000.0,1.55,,30.06,-12.38
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,33.49,-12.56,1.95,5.0,49.0,,-769000000.0,-1.99,,93.09,9.58
NSC,Norfolk Southern Corp.,Industrials,Railroads,84.59,9.53,2.17,13.0,49.0,,1556000000.0,5.13,,16.49,0.93
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,72.09,5.8,1.28,11.0,67.0,,973800000.0,4.03,,17.89,-13.4
NUE,Nucor Corp.,Materials,Steel,40.3,6.59,1.46,5.0,147.0,,357659000.0,1.11,,36.31,11.17
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,44.08,9.98,1.64,19.0,14.0,,350000000.0,1.3,,33.91,-2.08
O,Realty Income Corporation,Real Estate,Retail REITs,51.63,8.42,1.1,4.0,47.0,,283766000.0,1.09,,47.37,-3.97
OKE,ONEOK,Energy,Oil & Gas Exploration & Production,24.66,-24.12,3.56,73.0,6.0,,244977000.0,1.17,,21.08,-8.03
OMC,Omnicom Group,Consumer Discretionary,Advertising,75.66,14.81,1.07,45.0,18.0,,1093900000.0,4.43,,17.08,-10.46
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,253.42,0.96,1.09,47.0,4.0,,931216000.0,9.32,,27.19,-0.36
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,67.61,0.87,1.59,32.0,64.0,,-7829000000.0,-10.23,,93.09,3.35
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,16.15,3.13,1.13,5.0,99.0,,260100000.0,0.86,,18.78,-0.43
PBI,Pitney-Bowes,Industrials,"Technology, Hardware, Software and Suppl",20.65,3.82,1.26,228.0,34.0,,407943000.0,2.04,,10.12,-0.73
PCAR,PACCAR Inc.,Industrials,Construction & Farm Machinery & Heavy Tr,47.4,-9.32,1.44,23.0,110.0,,1604000000.0,4.52,,10.49,6.29
PCG,PG&E Corp.,Utilities,MultiUtilities,53.19,0.51,1.04,5.0,6.0,,888000000.0,1.81,,29.39,-1.12
PCLN,Priceline.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,1274.95,3.19,1.27,29.0,184.0,,2551360000.0,50.09,,25.45,-1.05
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,38.69,-8.23,1.18,13.0,11.0,,1679000000.0,3.32,,11.65,-0.36
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,99.92,6.07,0.81,45.0,68.0,,5452000000.0,3.71,,26.93,-5.19
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,32.28,3.13,1.24,11.0,79.0,,6960000000.0,1.13,,28.57,-4.21
PFG,Principal Financial Group,Financials,Diversified Financial Services,44.98,-5.31,1.53,13.0,117.0,,1234000000.0,4.11,,10.94,-4.53
PG,Procter & Gamble,Consumer Staples,Personal Products,79.41,10.66,0.81,17.0,129.0,,636056000.0,3.28,,24.07,-2.26
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,31.8,3.52,1.09,17.0,99.0,,1267600000.0,2.16,,14.72,-0.84
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,17.82,-5.56,1.69,10.0,25.0,,494090000.0,1.38,,12.91,-0.31
PM,Philip Morris International,Consumer Staples,Tobacco,87.91,10.33,0.86,52.0,22.0,,6873000000.0,4.42,,19.89,-1.42
PNC,PNC Financial Services,Financials,Banks,95.31,6.99,1.12,9.0,99.0,,4106000000.0,7.52,,12.67,-0.69
PNR,Pentair Ltd.,Industrials,Industrial Machinery,49.53,-3.03,1.88,2.0,8.0,,-76400000.0,-0.42,,14.58,-6.57
PNW,Pinnacle West Capital,Utilities,MultiUtilities,64.48,0.5,1.14,10.0,3.0,,437257000.0,3.94,,16.37,-6.09
PPG,PPG Industries,Materials,Diversified Chemicals,98.82,19.16,1.53,28.0,31.0,,1406000000.0,5.18,,19.08,-0.59
PPL,PPL Corp.,Utilities,Electric Utilities,34.13,3.42,1.11,7.0,22.0,,682000000.0,1.01,,33.79,-2.83
PRU,Prudential Financial,Financials,Diversified Financial Services,81.41,6.59,1.23,13.0,117.0,,5642000000.0,12.37,,6.58,-4.18
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing & Transpo,81.8,5.37,1.38,18.0,41.0,,4227000000.0,7.78,,10.51,7.03
PWR,Quanta Services Inc.,Industrials,Industrial Conglomerates,20.25,-16.63,2.95,10.0,11.0,,321824000.0,1.59,,12.74,4.29
PX,Praxair Inc.,Materials,Industrial Gases,102.4,0.29,1.13,35.0,8.0,,1547000000.0,5.39,,19.0,0.57
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,36.2,17.46,1.93,9.0,25.0,,1228000000.0,1.0,,36.2,5.43
R,Ryder System,Industrials,Industrial Conglomerates,56.83,-23.24,1.95,15.0,4.0,,304768000.0,5.75,,9.88,-12.02
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",101.21,13.43,1.56,8.0,9.0,,665783000.0,3.03,,33.4,-15.73
REGN,Regeneron,Health Care,Biotechnology,542.87,17.0,1.8,17.0,129.0,,636056000.0,6.17,,87.99,20.41
RHI,Robert Half International,Industrials,Human Resource & Employment Services,47.14,-7.66,1.14,36.0,34.0,,357796000.0,2.72,,17.33,4.09
ROP,Roper Industries,Industrials,Industrial Conglomerates,189.79,20.43,1.06,13.0,108.0,,696067000.0,6.92,,27.43,-16.22
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production,24.61,-25.11,3.71,26.0,0.0,,-713685000.0,-4.29,,93.09,0.53
RSG,Republic Services Inc,Industrials,Industrial Conglomerates,43.99,6.75,0.84,10.0,2.0,,749900000.0,2.14,,20.56,-2.43
SCG,SCANA Corp,Utilities,MultiUtilities,60.49,7.23,1.27,14.0,9.0,,746000000.0,5.22,,11.59,-4.02
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,32.93,15.46,1.46,11.0,99.0,,1447000000.0,1.04,,31.66,-0.13
SE,Spectra Energy Corp.,Energy,Oil & Gas Refining & Marketing & Transpo,23.94,-9.9,2.03,3.0,6.0,,196000000.0,0.29,,82.55,-2.58
SEE,Sealed Air,Materials,Paper Packaging,44.6,-5.15,1.58,43.0,19.0,,225400000.0,1.63,,27.36,-2.72
SHW,Sherwin-Williams,Materials,Specialty Chemicals,259.6,16.54,1.43,121.0,10.0,,1053849000.0,11.38,,22.81,2.83
SLG,SL Green Realty,Real Estate,Office REITs,112.98,4.0,1.09,4.0,47.0,,284084000.0,1.02,,110.76,-3.09
SNI,Scripps Networks Interactive I,Consumer Discretionary,Broadcasting & Cable TV,55.21,12.24,1.77,40.0,23.0,,606828000.0,4.68,,11.8,-7.96
SO,Southern Co.,Utilities,Electric Utilities,46.79,4.37,0.9,11.0,15.0,,2421000000.0,2.6,,18.0,-2.8
SPG,Simon Property Group Inc,Real Estate,REITs,194.44,5.28,1.14,48.0,47.0,,2139375000.0,5.88,,33.07,-1.27
SPGI,"S&P Global, Inc.",Financials,Diversified Financial Services,98.58,14.04,1.08,596.0,51.0,,1156000000.0,4.26,,23.14,-4.18
SRCL,Stericycle Inc,Industrials,Industrial Conglomerates,120.6,-13.91,1.2,10.0,9.0,,267046000.0,3.02,,39.93,-18.86
SRE,Sempra Energy,Utilities,MultiUtilities,94.01,-2.79,1.13,11.0,9.0,,1350000000.0,5.43,,17.31,-8.55
STI,SunTrust Banks,Financials,Banks,42.84,11.97,1.44,8.0,99.0,,1933000000.0,3.62,,11.83,-2.48
STT,State Street Corp.,Financials,Diversified Financial Services,66.36,-0.87,1.44,9.0,117.0,,1980000000.0,4.53,,14.65,-4.04
SWKS,Skyworks Solutions,Information Technology,Semiconductors,76.83,-8.51,2.02,25.0,225.0,,798300000.0,4.21,,18.25,7.41
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production,7.11,-44.8,4.58,200.0,2.0,,-4556000000.0,-6.07,,93.09,1.27
SYF,Synchrony Financial,Financials,Consumer Finance,30.41,-2.87,1.84,18.0,99.0,,2214000000.0,2.66,,11.43,-0.84
SYK,Stryker Corp.,Health Care,Health Care Equipment,92.94,-1.65,1.14,17.0,116.0,,1439000000.0,3.82,,24.33,7.03
T,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services,34.41,5.94,0.86,11.0,11.0,,13345000000.0,2.37,,14.52,-23.54
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,93.92,13.13,1.22,5.0,35.0,,359500000.0,1.94,,48.41,-25.39
TDC,Teradata Corp.,Information Technology,Application Software,26.42,-8.83,2.73,25.0,88.0,,-214000000.0,-1.53,,74.56,4.07
TGNA,"Tegna, Inc.",Consumer Discretionary,Publishing,25.52,13.62,1.8,21.0,21.0,,459522000.0,2.04,,12.51,-12.73
TMK,Torchmark Corp.,Financials,Life & Health Insurance,57.16,1.17,1.02,13.0,99.0,,527100000.0,4.21,,13.58,-1.88
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,141.85,15.61,1.25,9.0,11.0,,1975400000.0,4.96,,28.6,-28.03
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,85.25,34.8,1.58,14.0,212.0,,198000000.0,1.38,,61.78,2.63
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,112.86,13.03,0.96,15.0,99.0,,3439000000.0,10.99,,10.27,-0.89
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,85.5,1.3,1.43,29.0,10.0,,410395000.0,3.03,,28.22,6.01
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,53.33,23.25,1.59,13.0,19.0,,1220000000.0,3.28,,24.07,-1.98
TSO,Tesoro Petroleum Co.,Energy,Oil & Gas Refining & Marketing & Transpo,105.37,8.58,1.85,30.0,37.0,,1540000000.0,12.5,,8.43,4.59
TSS,Total System Services,Information Technology,Internet Software & Services,49.8,9.23,1.58,20.0,115.0,,369041000.0,1.98,,25.15,-2.35
TXN,Texas Instruments,Information Technology,Semiconductors,54.81,9.97,1.26,30.0,126.0,,2986000000.0,2.86,,19.16,2.77
UAA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",80.61,-16.95,1.76,14.0,27.0,,232573000.0,3.03,,20.82,-0.86
UAL,United Continental Holdings,Industrials,Airlines,57.3,8.22,1.75,82.0,42.0,,7340000000.0,19.52,,2.94,-23.2
UDR,UDR Inc,Real Estate,Residential REITs,37.57,8.58,1.16,12.0,47.0,,340383000.0,1.3,,28.9,-3.09
UHS,"Universal Health Services, Inc",Health Care,Health Care Facilities,119.49,-5.14,2.05,16.0,6.0,,680528000.0,6.89,,17.34,6.26
UNH,United Health Group Inc.,Health Care,Managed Health Care,117.64,1.47,1.48,17.0,70.0,,5813000000.0,6.1,,19.29,-8.81
UNM,Unum Group,Financials,Diversified Financial Services,33.29,3.8,1.1,10.0,117.0,,867100000.0,3.51,,9.48,-4.18
UNP,Union Pacific,Industrials,Railroads,78.2,-12.37,1.43,23.0,43.0,,4772000000.0,5.51,,14.19,1.07
UPS,United Parcel Service,Industrials,Air Freight & Logistics,96.23,-2.8,0.83,196.0,44.0,,4844000000.0,5.38,,17.89,1.07
UTX,United Technologies,Industrials,Industrial Conglomerates,96.07,8.07,0.95,28.0,31.0,,7608000000.0,8.72,,11.02,-13.2
VAR,Varian Medical Systems,Health Care,Health Care Equipment,80.8,9.25,1.03,24.0,61.0,,411500000.0,4.13,,19.56,9.47
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing & Transpo,70.71,17.34,1.63,19.0,56.0,,3990000000.0,8.0,,8.84,15.26
VMC,Vulcan Materials,Materials,Construction Materials,94.97,6.03,1.85,5.0,81.0,,221177000.0,1.66,,57.21,-0.27
VNO,Vornado Realty Trust,Real Estate,REITs,99.96,10.03,1.02,11.0,47.0,,760434000.0,3.61,,27.69,-1.08
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,76.88,-1.45,1.45,37.0,10.0,,507577000.0,3.07,,25.04,-13.62
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,87.36,23.46,1.38,35.0,127.0,,375236000.0,3.29,,26.55,4.08
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,125.83,21.93,2.46,59.0,221.0,,-556334000.0,-2.31,,39.6,2.56
VTR,Ventas Inc,Real Estate,REITs,56.43,0.21,1.44,4.0,47.0,,419222000.0,1.26,,44.79,-4.04
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services,46.22,6.28,0.84,109.0,14.0,,17879000000.0,4.38,,10.55,-26.38
WAT,Waters Corporation,Health Care,Health Care Distributors,134.58,13.93,1.04,23.0,425.0,,469053000.0,5.7,,23.61,29.55
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,51.31,-1.99,1.1,7.0,2.0,,640300000.0,2.36,,21.74,-1.85
WFC,Wells Fargo,Financials,Banks,54.36,5.53,0.97,12.0,99.0,,22894000000.0,4.18,,13.0,-0.94
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,146.87,-0.23,2.4,17.0,10.0,,783000000.0,9.95,,14.76,-45.09
WM,Waste Management Inc.,Industrials,Environmental Services,53.37,7.06,0.94,14.0,2.0,,753000000.0,1.66,,32.15,-1.42
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,25.7,-30.99,3.72,9.0,4.0,,-571000000.0,-0.76,,93.09,-14.56
WU,Western Union Co,Information Technology,Internet Software & Services,17.91,-2.61,1.27,60.0,16.0,,837800000.0,1.63,,10.99,-8.04
WY,Weyerhaeuser Corp.,Real Estate,REITs,29.98,8.54,1.34,10.0,116.0,,506000000.0,0.89,,33.69,2.28
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",72.65,1.0,1.33,64.0,9.0,,612000000.0,5.18,,14.03,-10.25
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,69.19,29.5,3.79,174.0,198.0,,195290000.0,1.93,,35.85,12.7
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,89.38,-14.4,2.4,86.0,190.0,,-2408948000.0,-25.92,,93.09,7.19
XEL,Xcel Energy Inc,Utilities,MultiUtilities,35.91,1.38,1.02,9.0,2.0,,984485000.0,1.94,,18.51,-2.26
XL,XL Capital,Financials,Property & Casualty Insurance,39.18,7.7,0.99,10.0,99.0,,1201560000.0,4.22,,9.28,-7.76
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,77.95,3.66,1.37,9.0,7.0,,16150000000.0,3.85,,20.25,-2.71
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,60.85,19.9,1.01,11.0,60.0,,251200000.0,1.79,,33.99,0.86
XRX,Xerox Corp.,Information Technology,IT Consulting & Other Services,10.63,9.47,1.87,5.0,26.0,,474000000.0,0.42,,25.31,-0.3
XYL,Xylem Inc.,Industrials,Industrial Conglomerates,36.5,11.01,1.17,16.0,83.0,,340000000.0,1.88,,19.41,4.13
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services,33.26,14.89,1.85,15.0,459.0,,-4359082000.0,-4.64,,28.98,6.26
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,52.52,-8.7,1.48,142.0,27.0,,1293000000.0,2.97,,17.68,-3.84
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,102.59,9.35,1.4,1.0,100.0,,147000000.0,0.78,,131.53,-23.88
ZION,Zions Bancorp,Financials,Regional Banks,27.3,-1.16,1.47,4.0,99.0,,309471000.0,1.2,,22.75,-0.06
ZTS,Zoetis,Health Care,Pharmaceuticals,47.92,16.68,1.61,32.0,65.0,,339000000.0,0.68,,70.47,1.72
